as_of_session,broker_execution_enabled,entry_price,entry_session,exit_price,exit_reason,exit_session,final_decision,hit_10pct,hit_15pct,hit_5pct,mae_pct,market_data_source,market_regime_state,mfe_pct,observed_at_utc,production_applied,r_multiple,reference_close,return_1d_pct,return_3d_pct,return_5d_pct,return_7d_pct,sessions_held,shadow_status,signal_id,status,stop_price,strategy,strategy_score,target_price,theme,theme_state,ticker,vote_count
2026-09-18,False,,,,,,NO TRADE,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,32.47,,,,,0,SHADOW_ONLY,2026-09-18|TREND_PULLBACK|FIVN,PENDING_ENTRY,31.1712,TREND_PULLBACK,65.0328,35.0676,UNCLASSIFIED,NONE,FIVN,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,92.13,,,,,0,SHADOW_ONLY,2026-09-18|TREND_PULLBACK|MDT,PENDING_ENTRY,91.49,TREND_PULLBACK,64.4514,99.5004,UNCLASSIFIED,NONE,MDT,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,77.09,,,,,0,SHADOW_ONLY,2026-09-18|TREND_PULLBACK|NTR,PENDING_ENTRY,75.3439,TREND_PULLBACK,65.554,83.2572,UNCLASSIFIED,NONE,NTR,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,222.27,,,,,0,SHADOW_ONLY,2026-09-18|TREND_PULLBACK|NVDA,PENDING_ENTRY,217.8246,TREND_PULLBACK,67.8166,240.0516,Semiconductors,STRONG,NVDA,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,177.72,,,,,0,SHADOW_ONLY,2026-09-18|TREND_PULLBACK|QCOM,PENDING_ENTRY,171.0022,TREND_PULLBACK,70.4476,191.9376,Semiconductors,STRONG,QCOM,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,101.57,,,,,0,SHADOW_ONLY,2026-09-18|TREND_PULLBACK|VOYA,PENDING_ENTRY,100.98,TREND_PULLBACK,66.9678,109.6956,UNCLASSIFIED,NONE,VOYA,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,30.23,,,,,0,SHADOW_ONLY,2026-09-18|TREND_PULLBACK|ZETA,PENDING_ENTRY,29.1667,TREND_PULLBACK,65.2702,32.6484,UNCLASSIFIED,NONE,ZETA,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,199.39,,,,,0,SHADOW_ONLY,2026-09-18|V3_BASELINE|ANET,PENDING_ENTRY,194.35,V3_BASELINE,99.5633,215.3412,UNCLASSIFIED,NONE,ANET,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,13.45,,,,,0,SHADOW_ONLY,2026-09-18|V3_BASELINE|CNH,PENDING_ENTRY,12.87,V3_BASELINE,99.7817,14.526,UNCLASSIFIED,NONE,CNH,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,683.99,,,,,0,SHADOW_ONLY,2026-09-18|V3_BASELINE|DE,PENDING_ENTRY,664.81,V3_BASELINE,99.4541,738.7092,UNCLASSIFIED,NONE,DE,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,42.02,,,,,0,SHADOW_ONLY,2026-09-18|V3_BASELINE|HRMY,PENDING_ENTRY,40.97,V3_BASELINE,99.2358,45.3816,UNCLASSIFIED,NONE,HRMY,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,28.02,,,,,0,SHADOW_ONLY,2026-09-18|V3_BASELINE|MLYS,PENDING_ENTRY,26.8992,V3_BASELINE,99.345,30.2616,UNCLASSIFIED,NONE,MLYS,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,9.26,,,,,0,SHADOW_ONLY,2026-09-18|V3_BASELINE|PAGS,PENDING_ENTRY,8.9912,V3_BASELINE,99.8908,10.0008,UNCLASSIFIED,NONE,PAGS,
