ticker,price,avg_share_volume20,avg_dollar_volume20,median_dollar_volume20,adr20_pct,tradable,rejection_reason,name,exchange
NWTG,1.27,69065.0,93839.0,19847.0,7.52,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Newton Golf Company, Inc. - Common Stock",NASDAQ
CLIR,4.03,21480.0,93758.0,89674.0,9.42,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,ClearSign Technologies Corporation - Common Stock,NASDAQ
NXL,4.82,14630.0,93663.0,50333.0,9.95,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Nexalin Technology, Inc. - Common Stock",NASDAQ
DSY,3.77,23180.0,93055.0,62630.0,4.7,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Big Tree Cloud Holdings Limited - Class A Ordinary Shares,NASDAQ
BGM,0.26,330420.0,92497.0,20564.0,13.82,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,BGM Group Ltd. - Class A Ordinary Shares,NASDAQ
AEI,1.12,58360.0,92440.0,28982.0,9.37,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Alset Inc. - Common Stock,NASDAQ
LBTYB,12.65,6920.0,92359.0,6250.0,1.76,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,Liberty Global Ltd. - Class B Common Shares,NASDAQ
MNOV,1.81,58730.0,92246.0,70800.0,4.8,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"MediciNova, Inc. - Common Stock",NASDAQ
WPRT,1.84,50845.0,92210.0,71219.0,2.99,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Westport Fuel Systems Inc - Common Shares,NASDAQ
VHUB,0.92,112545.0,91050.0,49946.0,13.12,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"VenHub Global, Inc. - Common Stock",NASDAQ
SNGX,0.36,234675.0,90937.0,49880.0,4.03,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Soligenix, Inc. - Common Stock",NASDAQ
LPA,3.38,28040.0,90598.0,44306.0,5.58,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Logistic Properties of the Americas Ordinary Shares,NYSE American
NSPR,0.79,100260.0,89795.0,50716.0,8.71,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,InspireMD Inc. - Common Stock,NASDAQ
GTEN,10.55,8380.0,89436.0,3190.0,0.28,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,"Gores Holdings X, Inc. - Class A ordinary shares",NASDAQ
GLXG,0.97,87010.0,89345.0,51411.0,9.42,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Galaxy Payroll Group Limited - Class A Ordinary Shares,NASDAQ
